Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Payment Term,Due Date,Invoice Amount,Salesperson Name,Sales credit percentage
Type,Date,Num,P. O. #,Name,Name Address,Terms,Due Date,Open Balance,,
Invoice,2026-02-04 00:00:00,244881,25-583-MT,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-03-06 00:00:00,1150,House Account,1
Invoice,2026-02-04 00:00:00,245029,691371,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-06 00:00:00,880,House Account,1
Invoice,2026-02-04 00:00:00,243191,25350183,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-06 00:00:00,4450,,
Invoice,2026-02-04 00:00:00,245008,54353-9862,United Systems Mechanical Inc:USM-Small Projects,"1400 Airport Way S, Suite 202 Seattle, WA 98134",Net 30,2026-03-06 00:00:00,72,House Account,1
Invoice,2026-02-04 00:00:00,244927-1,po038288  16-25-29733,Hermanson Company:HER-Microsoft,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-03-06 00:00:00,66.04,House Account,1
Invoice,2026-02-04 00:00:00,244927,po038288  16-25-29733,Hermanson Company:HER-Microsoft,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-03-06 00:00:00,978.18,House Account,1
Invoice,2026-02-04 00:00:00,244914,690848,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-06 00:00:00,156.88,House Account,1
Invoice,2026-02-04 00:00:00,244899,60940673,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-03-06 00:00:00,18.42,House Account,1
Invoice,2026-02-04 00:00:00,244900,60940776,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-03-06 00:00:00,55.18,House Account,1
Invoice,2026-02-04 00:00:00,245036,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-06 00:00:00,948.06,House Account,1
Invoice,2026-02-04 00:00:00,245006,43844-1585-0203,PSF Mechanical:PSF-Small Projects,"PO Box 84046 Seattle, WA 98124 USA",Net 30,2026-03-06 00:00:00,1019.12,House Account,1
Invoice,2026-02-04 00:00:00,244986,691111,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-06 00:00:00,564.92,House Account,1
Invoice,2026-02-04 00:00:00,244985,691112,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-06 00:00:00,91.93,House Account,1
Invoice,2026-02-04 00:00:00,244896,690809,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-06 00:00:00,363.82,House Account,1
Invoice,2026-02-04 00:00:00,244835,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-06 00:00:00,1530.2,House Account,1
