Invoice Type,Invoice date,Invoice Number,Payment Terms,Due Date,Invoice Amount,Branch
Type,Issue Date,Invoice Number,Terms,Due Date,Open Balance,Class
Bill,2026-02-18 00:00:00,0466401-IN,Net 30,46101,677.87,Spokane
Bill,2026-02-19 00:00:00,0466466-IN,Net 30,46102,218.15,Spokane
Bill,2026-02-25 00:00:00,0466707-IN,Net 30,46108,243.85,Spokane
Bill,2026-02-18 00:00:00,74778,2% 15 Net 30,46101,1270,Spokane
Bill,2026-02-09 00:00:00,8560,Net 30,46092,6222.42,Spokane
Bill,2026-02-03 00:00:00,32103944,Net 30,46086,576,Spokane
Bill,2026-02-04 00:00:00,32105862,Net 30,46087,942,Spokane
Bill,2026-02-05 00:00:00,32106019,Net 30,46088,3097.32,Spokane
Bill,2026-02-11 00:00:00,32114577,Net 30,46094,1170,Spokane
Bill,2026-02-12 00:00:00,22545674,Net 30,46095,23331,Spokane
Bill,2026-02-23 00:00:00,32123952,Net 30,46106,1997.04,Spokane
Bill,2026-02-03 00:00:00,182448069X,Net 30,46086,10568.69,Spokane
Bill,2026-02-05 00:00:00,182644504,Net 30,46088,1256,Spokane
Bill,2026-02-26 00:00:00,810307330,Net 30,46109,2087.17,Spokane
Bill,2026-01-29 00:00:00,95681806,Net 60,46081,1474.13,Spokane
Bill,2026-01-29 00:00:00,95681805,Net 60,46081,2426.39,Spokane
Bill,2026-01-29 00:00:00,95682309,Net 60,46081,465.3,Spokane
Bill,2026-01-29 00:00:00,95682310,Net 60,46081,345.51,Spokane
Bill,2026-01-29 00:00:00,95682.58,Net 60,46081,786.03,Spokane
Bill,2026-01-29 00:00:00,95682328,Net 60,46081,171.61,Spokane
Bill,2026-01-29 00:00:00,95681653,Net 60,46081,3400.46,Spokane
Bill,2026-01-29 00:00:00,95681890,Net 60,46081,2770.78,Spokane
Bill,2026-02-02 00:00:00,96682665X,Net 60,46085,2738.63,Spokane
Bill,2026-02-02 00:00:00,95683593X,Net 60,46085,240.98,Spokane
Bill,2026-02-02 00:00:00,95683547X,Net 60,46085,3710.59,Spokane
Bill,2026-02-02 00:00:00,95683625X,Net 60,46085,2568.17,Spokane
Bill,2026-02-02 00:00:00,95683911X,Net 60,46085,1963.91,Spokane
Bill,2026-02-02 00:00:00,95683929X,Net 60,46085,697.26,Spokane
Bill,2026-02-02 00:00:00,95684023X,Net 60,46085,594.18,Spokane
Bill,2026-02-02 00:00:00,95685329,Net 60,46085,196.11,Spokane
Bill,2026-02-02 00:00:00,95685448,Net 60,46085,78.68,Spokane
Bill,2026-02-02 00:00:00,95685688,Net 60,46085,3317.34,Spokane
Bill,2026-02-02 00:00:00,95685689,Net 60,46085,3310.35,Spokane
Bill,2026-02-02 00:00:00,95684933,Net 60,46085,10218.47,Spokane
Bill,2026-02-02 00:00:00,95685691,Net 60,46085,2734.48,Spokane
Bill,2026-02-02 00:00:00,95685944_1,Net 60,46085,1949.88,Spokane
Bill,2026-02-03 00:00:00,95686823,Net 60,46086,554.85,Spokane
Bill,2026-02-03 00:00:00,95686941,Net 60,46086,2581.75,Spokane
Bill,2026-02-03 00:00:00,95686824,Net 60,46086,946.86,Spokane
Bill,2026-02-03 00:00:00,95686644,Net 60,46086,399.76,Spokane
Bill,2026-02-03 00:00:00,95686645,Net 60,46086,555.56,Spokane
Bill,2026-02-03 00:00:00,95686409,Net 60,46086,246.49,Spokane
Bill,2026-02-03 00:00:00,95686284,Net 60,46086,1743.03,Spokane
Bill,2026-02-03 00:00:00,95685769,Net 60,46086,155.54,Spokane
Bill,2026-02-03 00:00:00,95686332,Net 60,46086,868.82,Spokane
Bill,2026-02-03 00:00:00,95687059,Net 60,46086,1886.39,Spokane
Bill,2026-02-03 00:00:00,95687296,Net 60,46086,93.44,Spokane
Bill,2026-02-03 00:00:00,95687295,Net 60,46086,1472.77,Spokane
Bill,2026-02-03 00:00:00,95687416,Net 60,46086,942.96,Spokane
Bill,2026-02-03 00:00:00,95687343,Net 60,46086,454.3,Spokane
Bill,2026-02-04 00:00:00,95687806,Net 60,46087,1405.68,Spokane
Bill,2026-02-04 00:00:00,95687982,Net 60,46087,644.26,Spokane
Bill,2026-02-04 00:00:00,95688537,Net 60,46087,905.8,Spokane
Bill,2026-02-05 00:00:00,95688949,Net 60,46088,351.12,Spokane
Bill,2026-02-05 00:00:00,95689320,Net 60,46088,152.92,Spokane
Bill,2026-02-05 00:00:00,95689670,Net 60,46088,871.85,Spokane
Bill,2026-02-05 00:00:00,95689749,Net 60,46088,1546.34,Spokane
Bill,2026-02-05 00:00:00,95689888,Net 60,46088,1718.75,Spokane
Bill,2026-02-05 00:00:00,95689972,Net 60,46088,278.81,Spokane
Bill,2026-02-06 00:00:00,95690973,Net 60,46089,24.66,Spokane
Bill,2026-02-06 00:00:00,95690880,Net 60,46089,482.12,Spokane
Bill,2026-02-06 00:00:00,95691018,Net 60,46089,2745.72,Spokane
Bill,2026-02-06 00:00:00,95691065,Net 60,46089,425.75,Spokane
Bill,2026-02-06 00:00:00,95691111,Net 60,46089,1062.41,Spokane
Bill,2026-02-08 00:00:00,95691812,Net 60,46091,455.11,Spokane
Bill,2026-02-09 00:00:00,95691918,Net 60,46092,489.52,Spokane
Bill,2026-02-09 00:00:00,95691917,Net 60,46092,6097.28,Spokane
Bill,2026-02-09 00:00:00,95692117,Net 60,46092,73.97,Spokane
Bill,2026-02-09 00:00:00,95692198,Net 60,46092,503.4,Spokane
Bill,2026-02-09 00:00:00,95692672,Net 60,46092,77.68,Spokane
Bill,2026-02-09 00:00:00,95692567,Net 60,46092,1405.08,Spokane
Bill,2026-02-09 00:00:00,95692698,Net 60,46092,293.85,Spokane
Bill,2026-02-09 00:00:00,95692523,Net 60,46092,740.91,Spokane
Bill,2026-02-09 00:00:00,95692870,Net 60,46092,399.37,Spokane
Bill,2026-02-09 00:00:00,95692827,Net 60,46092,1635.07,Spokane
Bill,2026-02-09 00:00:00,95692933,Net 60,46092,183.44,Spokane
Bill,2026-02-09 00:00:00,95693161,Net 60,46092,634.12,Spokane
Bill,2026-02-10 00:00:00,95693355,Net 60,46093,245.19,Spokane
Bill,2026-02-10 00:00:00,95693354,Net 60,46093,1164.92,Spokane
Bill,2026-02-10 00:00:00,95693420,Net 60,46093,1219.12,Spokane
Bill,2026-02-10 00:00:00,95694261,Net 60,46093,581.56,Spokane
Bill,2026-02-10 00:00:00,95694521,Net 60,46093,2446.51,Spokane
Bill,2026-02-10 00:00:00,95694593,Net 60,46093,5780.5,Spokane
Bill,2026-02-10 00:00:00,95694653,Net 60,46093,1247.93,Spokane
Bill,2026-02-10 00:00:00,95694643,Net 60,46093,922.87,Spokane
Bill,2026-02-11 00:00:00,95694982,Net 60,46094,3244.34,Spokane
Bill,2026-02-11 00:00:00,95695050,Net 60,46094,187.53,Spokane
Bill,2026-02-11 00:00:00,95694980,Net 60,46094,1842.04,Spokane
Bill,2026-02-11 00:00:00,95696030,Net 60,46094,2415.96,Spokane
Bill,2026-02-11 00:00:00,95696029,Net 60,46094,4777.14,Spokane
Bill,2026-02-11 00:00:00,95696190,Net 60,46094,1286.73,Spokane
Bill,2026-02-11 00:00:00,95696031,Net 60,46094,114.06,Spokane
Bill,2026-02-11 00:00:00,95696191,Net 60,46094,221.96,Spokane
Bill,2026-02-12 00:00:00,95696462,Net 60,46095,149.24,Spokane
Bill,2026-02-12 00:00:00,95696528,Net 60,46095,15668.7,Spokane
Bill,2026-02-12 00:00:00,95696755,Net 60,46095,17937.82,Spokane
Bill,2026-02-12 00:00:00,95696789,Net 60,46095,399.76,Spokane
Bill,2026-02-12 00:00:00,95696788,Net 60,46095,464.13,Spokane
Bill,2026-02-12 00:00:00,95696866,Net 60,46095,606.49,Spokane
Bill,2026-02-12 00:00:00,95696820,Net 60,46095,1480.8,Spokane
Bill,2026-02-12 00:00:00,95697253,Net 60,46095,1213.68,Spokane
Bill,2026-02-12 00:00:00,95697499,Net 60,46095,105296.22,Spokane
Bill,2026-02-12 00:00:00,95697578,Net 60,46095,2642.02,Spokane
Bill,2026-02-12 00:00:00,95697619,Net 60,46095,911.87,Spokane
Bill,2026-02-12 00:00:00,95697694,Net 60,46095,59.43,Spokane
Bill,2026-02-12 00:00:00,95697344,Net 60,46095,784.63,Spokane
Bill,2026-02-12 00:00:00,95697394,Net 60,46095,139.26,Spokane
Bill,2026-02-13 00:00:00,95698822,Net 60,46096,158.9,Spokane
Bill,2026-02-13 00:00:00,9568927,Net 60,46096,2652.61,Spokane
Bill,2026-02-13 00:00:00,95698994,Net 60,46096,732.17,Spokane
Bill,2026-02-15 00:00:00,95699349,Net 60,46098,14841.02,Spokane
Bill,2026-02-16 00:00:00,95699606,Net 60,46099,667.18,Spokane
Bill,2026-02-16 00:00:00,95699700,Net 60,46099,6352.23,Spokane
Bill,2026-02-16 00:00:00,95699953,Net 60,46099,32.88,Spokane
Bill,2026-02-16 00:00:00,95699954,Net 60,46099,187.36,Spokane
Bill,2026-02-16 00:00:00,95700212,Net 60,46099,663.63,Spokane
Bill,2026-02-16 00:00:00,95700520,Net 60,46099,504.04,Spokane
Bill,2026-02-17 00:00:00,95701610,Net 60,46100,2034.21,Spokane
Bill,2026-02-17 00:00:00,95701636,Net 60,46100,2470.44,Spokane
Bill,2026-02-17 00:00:00,95701611,Net 60,46100,207.43,Spokane
Bill,2026-02-17 00:00:00,95701842,Net 60,46100,486.26,Spokane
Bill,2026-02-17 00:00:00,95701841,Net 60,46100,1387.11,Spokane
Bill,2026-02-18 00:00:00,95702321,Net 60,46101,3068.09,Spokane
Bill,2026-02-18 00:00:00,95702252,Net 60,46101,3720.99,Spokane
Bill,2026-02-18 00:00:00,95703024,Net 60,46101,7315.38,Spokane
Bill,2026-02-18 00:00:00,95702961,Net 60,46101,364.33,Spokane
Bill,2026-02-18 00:00:00,95703066,Net 60,46101,5717.52,Spokane
Bill,2026-02-18 00:00:00,95703089,Net 60,46101,1052.16,Spokane
Bill,2026-02-18 00:00:00,95703201,Net 60,46101,8528.62,Spokane
Bill,2026-02-18 00:00:00,95703350,Net 60,46101,7647.29,Spokane
Bill,2026-02-18 00:00:00,95703353,Net 60,46101,108.67,Spokane
Bill,2026-02-18 00:00:00,95703511,Net 60,46101,4028.1,Spokane
Bill,2026-02-19 00:00:00,95677611 X,Net 60,46102,3628.23,Spokane
Bill,2026-02-19 00:00:00,95703831,Net 60,46102,359.3,Spokane
Bill,2026-02-19 00:00:00,95703830,Net 60,46102,1724.33,Spokane
Bill,2026-02-19 00:00:00,95703898,Net 60,46102,1958.16,Spokane
Bill,2026-02-19 00:00:00,95703833,Net 60,46102,14033.41,Spokane
Bill,2026-02-19 00:00:00,95704481,Net 60,46102,231.39,Spokane
Bill,2026-02-19 00:00:00,95704860,Net 60,46102,3378.14,Spokane
Bill,2026-02-20 00:00:00,95705295,Net 60,46103,969.41,Spokane
Bill,2026-02-20 00:00:00,95705667,Net 60,46103,3183.03,Spokane
Bill,2026-02-20 00:00:00,95705964,Net 60,46103,121.2,Spokane
Bill,2026-02-20 00:00:00,95706049,Net 60,46103,1058.24,Spokane
Bill,2026-02-20 00:00:00,95706231,Net 60,46103,169.72,Spokane
Bill,2026-02-20 00:00:00,95706341,Net 60,46103,5275.02,Spokane
Bill,2026-02-20 00:00:00,95706145,Net 60,46103,7776.37,Spokane
Bill,2026-02-23 00:00:00,95707264,Net 60,46106,213.9,Spokane
Bill,2026-02-23 00:00:00,95707409,Net 60,46106,617.41,Spokane
Bill,2026-02-23 00:00:00,95707368,Net 60,46106,2355.43,Spokane
Bill,2026-02-23 00:00:00,95707560,Net 60,46106,3594.91,Spokane
Bill,2026-02-23 00:00:00,95707813,Net 60,46106,124.66,Spokane
Bill,2026-02-24 00:00:00,95708340,Net 60,46107,33832.31,Spokane
Bill,2026-02-24 00:00:00,95708738,Net 60,46107,440.78,Spokane
Bill,2026-02-24 00:00:00,95708739,Net 60,46107,230.27,Spokane
Bill,2026-02-24 00:00:00,95709027,Net 60,46107,740.45,Spokane
Bill,2026-02-24 00:00:00,95709132,Net 60,46107,1595.09,Spokane
Bill,2026-02-24 00:00:00,95709028,Net 60,46107,567.64,Spokane
Bill,2026-02-24 00:00:00,95709243,Net 60,46107,292.31,Spokane
Bill,2026-02-24 00:00:00,95709026,Net 60,46107,3172.53,Spokane
Bill,2026-02-24 00:00:00,95709133,Net 60,46107,48.86,Spokane
Bill,2026-02-25 00:00:00,95709577,Net 60,46108,1740.5,Spokane
Bill,2026-02-25 00:00:00,95709654,Net 60,46108,1268.89,Spokane
Bill,2026-02-25 00:00:00,95709656,Net 60,46108,364.85,Spokane
Bill,2026-02-25 00:00:00,95710200,Net 60,46108,9099.31,Spokane
Bill,2026-02-25 00:00:00,95710294,Net 60,46108,15466.14,Spokane
Bill,2026-02-25 00:00:00,95710137,Net 60,46108,154.91,Spokane
Bill,2026-02-25 00:00:00,95710316,Net 60,46108,1590.3,Spokane
Bill,2026-02-25 00:00:00,95710775,Net 60,46108,6446.18,Spokane
Bill,2026-02-25 00:00:00,95710926,Net 60,46108,1678.03,Spokane
Bill,2026-02-26 00:00:00,95711860,Net 60,46109,73.77,Spokane
Bill,2026-02-26 00:00:00,95712323,Net 60,46109,1259.8,Spokane
Bill,2026-02-26 00:00:00,95712309,Net 60,46109,5631.62,Spokane
Bill,2026-02-26 00:00:00,95712429,Net 60,46109,923.21,Spokane
Bill,2026-02-27 00:00:00,95712694,Net 60,46110,793.93,Spokane
Bill,2026-02-27 00:00:00,95712773,Net 60,46110,3407.73,Spokane
Bill,2026-02-27 00:00:00,95713042,Net 60,46110,1074.87,Spokane
Bill,2025-12-30 00:00:00,95653792,Net 60,46051,1106.98,Spokane
Bill,2025-12-30 00:00:00,95654177,Net 60,46051,17358.92,Spokane
Bill,2025-12-30 00:00:00,95654308,Net 60,46051,1014.17,Spokane
Bill,2025-12-31 00:00:00,95653158,Net 60,46052,23519.17,Spokane
Bill,2025-12-31 00:00:00,95641852,Net 60,46052,1969.92,Spokane
Bill,2025-12-31 00:00:00,95655317,Net 60,46052,7758.87,Spokane
Bill,2026-01-02 00:00:00,95655892,Net 60,46054,5075.22,Spokane
Bill,2026-01-02 00:00:00,95656133,Net 60,46054,514.2,Spokane
Bill,2026-01-02 00:00:00,95656093,Net 60,46054,3872.76,Spokane
Bill,2026-01-02 00:00:00,95656092,Net 60,46054,2526.33,Spokane
Bill,2026-01-02 00:00:00,95656098,Net 60,46054,64064.08,Spokane
Bill,2026-01-02 00:00:00,95656134,Net 60,46054,301.98,Spokane
Bill,2026-01-02 00:00:00,95656149,Net 60,46054,571.97,Spokane
Bill,2026-01-02 00:00:00,95656249,Net 60,46054,700.91,Spokane
Bill,2026-01-05 00:00:00,95656291,Net 60,46057,560.66,Spokane
Bill,2026-01-05 00:00:00,95656524,Net 60,46057,4061.42,Spokane
Bill,2026-01-05 00:00:00,95656523,Net 60,46057,2328.65,Spokane
Bill,2026-01-05 00:00:00,95655595,Net 60,46057,2895.9,Spokane
Bill,2026-01-05 00:00:00,95656205,Net 60,46057,3511.42,Spokane
Bill,2026-01-05 00:00:00,95656671,Net 60,46057,95.66,Spokane
Bill,2026-01-05 00:00:00,95656720,Net 60,46057,4031.4,Spokane
Bill,2026-01-06 00:00:00,95657655,Net 60,46058,59.43,Spokane
Bill,2026-01-06 00:00:00,95658005,Net 60,46058,422.82,Spokane
Bill,2026-01-07 00:00:00,95658868,Net 60,46059,2526.73,Spokane
Bill,2026-01-07 00:00:00,95659177,Net 60,46059,1064.77,Spokane
Bill,2026-01-07 00:00:00,95659342,Net 60,46059,116.27,Spokane
Bill,2026-01-07 00:00:00,95659243,Net 60,46059,4744.68,Spokane
Bill,2026-01-07 00:00:00,95659928,Net 60,46059,6872.8,Spokane
Bill,2026-01-07 00:00:00,95660011,Net 60,46059,5327.83,Spokane
Bill,2026-01-08 00:00:00,95659964,Net 60,46060,2530.57,Spokane
Bill,2026-01-09 00:00:00,95660755,Net 60,46061,5605.68,Spokane
Bill,2026-01-09 00:00:00,95660851,Net 60,46061,262.69,Spokane
Bill,2026-01-09 00:00:00,95660981,Net 60,46061,4685.54,Spokane
Bill,2026-01-09 00:00:00,95661221,Net 60,46061,531.63,Spokane
Bill,2026-01-09 00:00:00,95661258,Net 60,46061,200.5,Spokane
Bill,2026-01-09 00:00:00,95661686,Net 60,46061,6749.16,Spokane
Bill,2026-01-09 00:00:00,95662031,Net 60,46061,4230.81,Spokane
Bill,2026-01-09 00:00:00,95662674,Net 60,46061,1717.34,Spokane
Bill,2026-01-09 00:00:00,95662552,Net 60,46061,115.58,Spokane
Bill,2026-01-09 00:00:00,95662348,Net 60,46061,137.3,Spokane
Bill,2026-01-09 00:00:00,95662631,Net 60,46061,64272.68,Spokane
Bill,2026-01-09 00:00:00,95662032,Net 60,46061,1337.7,Spokane
Bill,2026-01-09 00:00:00,95662030,Net 60,46061,2170.9,Spokane
Bill,2026-01-09 00:00:00,95662062,Net 60,46061,818.05,Spokane
Bill,2026-01-09 00:00:00,95662227,Net 60,46061,467.78,Spokane
Bill,2026-01-09 00:00:00,95663088,Net 60,46061,1869.35,Spokane
Bill,2026-01-09 00:00:00,95662744,Net 60,46061,2410.24,Spokane
Bill,2026-01-09 00:00:00,95662746,Net 60,46061,7504.99,Spokane
Bill,2026-01-09 00:00:00,95662747,Net 60,46061,182.55,Spokane
Bill,2026-01-09 00:00:00,95662827,Net 60,46061,880.11,Spokane
Bill,2026-01-09 00:00:00,95663011,Net 60,46061,300,Spokane
Bill,2026-01-12 00:00:00,95663469,Net 60,46064,6716.02,Spokane
Bill,2026-01-12 00:00:00,95664072,Net 60,46064,4068.09,Spokane
Bill,2026-01-12 00:00:00,95664408,Net 60,46064,399.29,Spokane
Bill,2026-01-13 00:00:00,95664688,Net 60,46065,100.98,Spokane
Bill,2026-01-13 00:00:00,95665002,Net 60,46065,2759.01,Spokane
Bill,2026-01-13 00:00:00,95665292,Net 60,46065,887.88,Spokane
Bill,2026-01-13 00:00:00,95665294,Net 60,46065,614.75,Spokane
Bill,2026-01-13 00:00:00,9565425,Net 60,46065,467.45,Spokane
Bill,2026-01-13 00:00:00,95665426,Net 60,46065,360.11,Spokane
Bill,2026-01-14 00:00:00,95666112,Net 60,46066,2530.16,Spokane
Bill,2026-01-14 00:00:00,95666622,Net 60,46066,900.39,Spokane
Bill,2026-01-14 00:00:00,95666687,Net 60,46066,43.84,Spokane
Bill,2026-01-14 00:00:00,95666668,Net 60,46066,339.7,Spokane
Bill,2026-01-14 00:00:00,95666936,Net 60,46066,1292.08,Spokane
Bill,2026-01-14 00:00:00,95666935,Net 60,46066,5546.61,Spokane
Bill,2026-01-14 00:00:00,95667135,Net 60,46066,1001.54,Spokane
Bill,2026-01-14 00:00:00,95667079,Net 60,46066,37194.56,Spokane
Bill,2026-01-14 00:00:00,95667224,Net 60,46066,140.17,Spokane
Bill,2026-01-14 00:00:00,95667265,Net 60,46066,1776.29,Spokane
Bill,2026-01-14 00:00:00,95667269,Net 60,46066,1349.27,Spokane
Bill,2026-01-14 00:00:00,95667370,Net 60,46066,1035.22,Spokane
Bill,2026-01-14 00:00:00,95666732,Net 60,46066,11180.02,Spokane
Bill,2026-01-14 00:00:00,95667270,Net 60,46066,3791.04,Spokane
Bill,2026-01-15 00:00:00,95667641,Net 60,46067,69.31,Spokane
Bill,2026-01-15 00:00:00,95668368,Net 60,46067,3984.74,Spokane
Bill,2026-01-15 00:00:00,95668631,Net 60,46067,755.34,Spokane
Bill,2026-01-15 00:00:00,95668632,Net 60,46067,1421.56,Spokane
Bill,2026-01-15 00:00:00,95667520,Net 60,46067,608.42,Spokane
Bill,2026-01-15 00:00:00,95667739,Net 60,46067,3194.12,Spokane
Bill,2026-01-16 00:00:00,95669631,Net 60,46068,928.18,Spokane
Bill,2026-01-16 00:00:00,95669376,Net 60,46068,483.61,Spokane
Bill,2026-01-16 00:00:00,95668946,Net 60,46068,1396.97,Spokane
Bill,2026-01-16 00:00:00,956692255,Net 60,46068,361.22,Spokane
Bill,2026-01-16 00:00:00,95668367,Net 60,46068,6685.34,Spokane
Bill,2026-01-16 00:00:00,95669899,Net 60,46068,73.77,Spokane
Bill,2026-01-16 00:00:00,95670036,Net 60,46068,1235.75,Spokane
Bill,2026-01-16 00:00:00,95668987,Net 60,46068,50,Spokane
Bill,2026-01-16 00:00:00,95668986,Net 60,46068,625.68,Spokane
Bill,2026-01-19 00:00:00,95670809,Net 60,46071,231.39,Spokane
Bill,2026-01-19 00:00:00,95670935,Net 60,46071,2426.1,Spokane
Bill,2026-01-19 00:00:00,95671039,Net 60,46071,3666.65,Spokane
Bill,2026-01-19 00:00:00,95671255,Net 60,46071,450,Spokane
Bill,2026-01-19 00:00:00,95671371,Net 60,46071,892.82,Spokane
Bill,2026-01-20 00:00:00,95672047,Net 60,46072,244.75,Spokane
Bill,2026-01-20 00:00:00,95672253,Net 60,46072,1468.54,Spokane
Bill,2026-01-20 00:00:00,95672290,Net 60,46072,495.91,Spokane
Bill,2026-01-20 00:00:00,95672291,Net 60,46072,2355.74,Spokane
Bill,2026-01-20 00:00:00,95672251,Net 60,46072,1076.74,Spokane
Bill,2026-01-20 00:00:00,95672339,Net 60,46072,806.55,Spokane
Bill,2026-01-20 00:00:00,95672336,Net 60,46072,621.93,Spokane
Bill,2026-01-20 00:00:00,95672337,Net 60,46072,2085.71,Spokane
Bill,2026-01-20 00:00:00,95672437,Net 60,46072,345.06,Spokane
Bill,2026-01-20 00:00:00,95672660,Net 60,46072,518.37,Spokane
Bill,2026-01-20 00:00:00,95672661,Net 60,46072,228.69,Spokane
Bill,2026-01-20 00:00:00,95672609,Net 60,46072,384.16,Spokane
Bill,2026-01-21 00:00:00,95672967,Net 60,46073,4944.16,Spokane
Bill,2026-01-21 00:00:00,95672968,Net 60,46073,318.76,Spokane
Bill,2026-01-21 00:00:00,95673066,Net 60,46073,150.47,Spokane
Bill,2026-01-21 00:00:00,95673170,Net 60,46073,2676.31,Spokane
Bill,2026-01-21 00:00:00,95673908,Net 60,46073,389.45,Spokane
Bill,2026-01-21 00:00:00,95673907,Net 60,46073,721.33,Spokane
Bill,2026-01-22 00:00:00,95675415,Net 60,46074,1257.24,Spokane
Bill,2026-01-22 00:00:00,95675744,Net 60,46074,399.76,Spokane
Bill,2026-01-22 00:00:00,95675794,Net 60,46074,901.8,Spokane
Bill,2026-01-22 00:00:00,95675742,Net 60,46074,3461.8,Spokane
Bill,2026-01-22 00:00:00,95675602,Net 60,46074,195.58,Spokane
Bill,2026-01-22 00:00:00,95675865,Net 60,46074,5128.33,Spokane
Bill,2026-01-22 00:00:00,95674555,Net 60,46074,5668.7,Spokane
Bill,2026-01-23 00:00:00,95676635,Net 60,46075,699.58,Spokane
Bill,2026-01-23 00:00:00,95676507,Net 60,46075,967.49,Spokane
Bill,2026-01-23 00:00:00,95676508,Net 60,46075,425.83,Spokane
Bill,2026-01-23 00:00:00,95676892,Net 60,46075,257.41,Spokane
Bill,2026-01-23 00:00:00,95676910,Net 60,46075,671.76,Spokane
Bill,2026-01-23 00:00:00,95677101,Net 60,46075,140.25,Spokane
Bill,2026-01-23 00:00:00,95677132,Net 60,46075,4147.32,Spokane
Bill,2026-01-24 00:00:00,95677273,Net 60,46076,244.06,Spokane
Bill,2026-01-26 00:00:00,95653159 X,Net 60,46078,122363.55,Spokane
Bill,2026-01-26 00:00:00,95677485,Net 60,46078,4307.59,Spokane
Bill,2026-01-26 00:00:00,95677544,Net 60,46078,9612.53,Spokane
Bill,2026-01-26 00:00:00,95677545,Net 60,46078,929.88,Spokane
Bill,2026-01-26 00:00:00,95677582,Net 60,46078,9001.28,Spokane
Bill,2026-01-26 00:00:00,95678077,Net 60,46078,1063.69,Spokane
Bill,2026-01-26 00:00:00,95677829,Net 60,46078,484.91,Spokane
Bill,2026-01-26 00:00:00,95678147,Net 60,46078,669.24,Spokane
Bill,2026-01-26 00:00:00,95678259,Net 60,46078,200.81,Spokane
Bill,2026-01-26 00:00:00,95678297,Net 60,46078,355.82,Spokane
Bill,2026-01-26 00:00:00,95678335,Net 60,46078,168.73,Spokane
Bill,2026-01-26 00:00:00,95678296,Net 60,46078,206.93,Spokane
Bill,2026-01-26 00:00:00,95678173,Net 60,46078,1972.84,Spokane
Bill,2026-01-27 00:00:00,95678613,Net 60,46079,4150,Spokane
Bill,2026-01-27 00:00:00,95679247,Net 60,46079,815.74,Spokane
Bill,2026-01-27 00:00:00,95679486,Net 60,46079,134.03,Spokane
Bill,2026-01-27 00:00:00,95679592,Net 60,46079,610.62,Spokane
Bill,2026-01-28 00:00:00,95680131,Net 60,46080,410.08,Spokane
Bill,2026-01-28 00:00:00,95680305,Net 60,46080,686.23,Spokane
Bill,2026-01-28 00:00:00,95680642,Net 60,46080,928.27,Spokane
Bill,2026-01-28 00:00:00,95680641,Net 60,46080,544.06,Spokane
Bill,2026-01-28 00:00:00,95680745,Net 60,46080,166.46,Spokane
Bill,2026-02-02 00:00:00,ICOM012744,Net 30,46085,598.37,Spokane
Bill,2026-02-04 00:00:00,ICOM0102811,Net 30,46087,1394,Spokane
Bill,2026-02-06 00:00:00,ICOM0102877,Net 30,46089,765,Spokane
Bill,2026-02-09 00:00:00,ICOM0102931,Net 30,46092,231.62,Spokane
Bill,2026-02-10 00:00:00,ICOM0102968,Net 30,46093,1499.81,Spokane
Bill,2026-02-16 00:00:00,ICOM0103156,Net 30,46099,2376.15,Spokane
Bill,2026-02-17 00:00:00,ICOM0103203,Net 30,46100,150.9,Spokane
Bill,2026-02-17 00:00:00,ICOM0103208,Net 30,46100,625.37,Spokane
Bill,2026-02-24 00:00:00,ICOM0103497,Net 30,46107,585.59,Spokane
Bill,2026-02-02 00:00:00,481875X,1% 30 NET 45,46100,3585.3,Spokane
Bill,2026-02-02 00:00:00,481877X,1% 30 NET 45,46100,528.85,Spokane
Bill,2026-02-02 00:00:00,481876X,1% 30 NET 45,46100,699.87,Spokane
Bill,2026-02-05 00:00:00,483215,1% 30 NET 45,46103,1115.58,Spokane
Bill,2026-02-10 00:00:00,484549,1% 30 NET 45,46108,990.4,Spokane
Bill,2026-02-23 00:00:00,488378,1% 30 NET 45,46121,1097.81,Spokane
Bill,2026-02-25 00:00:00,489031,1% 30 NET 45,46123,553.49,Spokane
Bill,2026-01-16 00:00:00,479162,1% 30 NET 45,46083,12216.28,Spokane
Bill,2026-01-27 00:00:00,481081,1% 30 NET 45,46094,2246.14,Spokane
Bill,2026-02-02 00:00:00,95683255X,Net 30,46085,168.08,Spokane
Bill,2026-02-02 00:00:00,95684580X,Net 60,46115,2324.84,Spokane
Bill,2026-02-03 00:00:00,95686331,Net 30,46086,502.65,Spokane
Bill,2026-02-05 00:00:00,95689038,Net 30,46088,560.84,Spokane
Bill,2026-02-07 00:00:00,95691707,Net 30,46090,629.77,Spokane
Bill,2026-02-10 00:00:00,95693485,Net 30,46093,1948.97,Spokane
Bill,2026-02-13 00:00:00,95698158,Net 30,46096,142.96,Spokane
Bill,2026-02-13 00:00:00,95698156,Net 30,46096,74.51,Spokane
Bill,2026-02-13 00:00:00,95698157,Net 30,46096,1768.27,Spokane
Bill,2026-02-17 00:00:00,95701155,Net 30,46100,1034.17,Spokane
Bill,2026-02-20 00:00:00,95705443,Net 30,46103,79.42,Spokane
Bill,2026-02-21 00:00:00,95706457,Net 30,46104,1692.33,Spokane
Bill,2026-02-24 00:00:00,95708389,Net 30,46107,35266.43,Spokane
Bill,2026-02-24 00:00:00,95708851,Net 30,46107,22036.88,Spokane
Bill,2026-02-26 00:00:00,95711219,Net 30,46109,1488.53,Spokane
Bill,2026-02-26 00:00:00,95711218,Net 30,46109,193.33,Spokane
