EmployeeID,Name,Age,Department,City,Salary
1001,Employee_1,21,HR,Delhi,31000
1002,Employee_2,22,Finance,Mumbai,32000
1003,Employee_3,23,Sales,Bangalore,33000
1004,Employee_4,24,Marketing,Hyderabad,34000
1005,Employee_5,25,Support,Chennai,35000
1006,Employee_6,26,IT,Pune,36000
1007,Employee_7,27,HR,Delhi,37000
1008,Employee_8,28,Finance,Mumbai,38000
1009,Employee_9,29,Sales,Bangalore,39000
1010,Employee_10,30,Marketing,Hyderabad,40000
1011,Employee_11,31,Support,Chennai,41000
1012,Employee_12,32,IT,Pune,42000
1013,Employee_13,33,HR,Delhi,43000
1014,Employee_14,34,Finance,Mumbai,44000
1015,Employee_15,35,Sales,Bangalore,45000
1016,Employee_16,36,Marketing,Hyderabad,46000
1017,Employee_17,37,Support,Chennai,47000
1018,Employee_18,38,IT,Pune,48000
1019,Employee_19,39,HR,Delhi,49000
1020,Employee_20,40,Finance,Mumbai,50000
1021,Employee_21,20,Sales,Bangalore,51000
1022,Employee_22,21,Marketing,Hyderabad,52000
1023,Employee_23,22,Support,Chennai,53000
1024,Employee_24,23,IT,Pune,54000
1025,Employee_25,24,HR,Delhi,55000
1026,Employee_26,25,Finance,Mumbai,56000
1027,Employee_27,26,Sales,Bangalore,57000
1028,Employee_28,27,Marketing,Hyderabad,58000
1029,Employee_29,28,Support,Chennai,59000
1030,Employee_30,29,IT,Pune,60000
1031,Employee_31,30,HR,Delhi,61000
1032,Employee_32,31,Finance,Mumbai,62000
1033,Employee_33,32,Sales,Bangalore,63000
1034,Employee_34,33,Marketing,Hyderabad,64000
1035,Employee_35,34,Support,Chennai,65000
1036,Employee_36,35,IT,Pune,66000
1037,Employee_37,36,HR,Delhi,67000
1038,Employee_38,37,Finance,Mumbai,68000
1039,Employee_39,38,Sales,Bangalore,69000
1040,Employee_40,39,Marketing,Hyderabad,70000
1041,Employee_41,40,Support,Chennai,71000
1042,Employee_42,20,IT,Pune,72000
1043,Employee_43,21,HR,Delhi,73000
1044,Employee_44,22,Finance,Mumbai,74000
1045,Employee_45,23,Sales,Bangalore,75000
1046,Employee_46,24,Marketing,Hyderabad,76000
1047,Employee_47,25,Support,Chennai,77000
1048,Employee_48,26,IT,Pune,78000
1049,Employee_49,27,HR,Delhi,79000
1050,Employee_50,28,Finance,Mumbai,30000
1051,Employee_51,29,Sales,Bangalore,31000
1052,Employee_52,30,Marketing,Hyderabad,32000
1053,Employee_53,31,Support,Chennai,33000
1054,Employee_54,32,IT,Pune,34000
1055,Employee_55,33,HR,Delhi,35000
1056,Employee_56,34,Finance,Mumbai,36000
1057,Employee_57,35,Sales,Bangalore,37000
1058,Employee_58,36,Marketing,Hyderabad,38000
1059,Employee_59,37,Support,Chennai,39000
1060,Employee_60,38,IT,Pune,40000
1061,Employee_61,39,HR,Delhi,41000
1062,Employee_62,40,Finance,Mumbai,42000
1063,Employee_63,20,Sales,Bangalore,43000
1064,Employee_64,21,Marketing,Hyderabad,44000
1065,Employee_65,22,Support,Chennai,45000
1066,Employee_66,23,IT,Pune,46000
1067,Employee_67,24,HR,Delhi,47000
1068,Employee_68,25,Finance,Mumbai,48000
1069,Employee_69,26,Sales,Bangalore,49000
1070,Employee_70,27,Marketing,Hyderabad,50000
1071,Employee_71,28,Support,Chennai,51000
1072,Employee_72,29,IT,Pune,52000
1073,Employee_73,30,HR,Delhi,53000
1074,Employee_74,31,Finance,Mumbai,54000
1075,Employee_75,32,Sales,Bangalore,55000
1076,Employee_76,33,Marketing,Hyderabad,56000
1077,Employee_77,34,Support,Chennai,57000
1078,Employee_78,35,IT,Pune,58000
1079,Employee_79,36,HR,Delhi,59000
1080,Employee_80,37,Finance,Mumbai,60000
1081,Employee_81,38,Sales,Bangalore,61000
1082,Employee_82,39,Marketing,Hyderabad,62000
1083,Employee_83,40,Support,Chennai,63000
1084,Employee_84,20,IT,Pune,64000
1085,Employee_85,21,HR,Delhi,65000
1086,Employee_86,22,Finance,Mumbai,66000
1087,Employee_87,23,Sales,Bangalore,67000
1088,Employee_88,24,Marketing,Hyderabad,68000
1089,Employee_89,25,Support,Chennai,69000
1090,Employee_90,26,IT,Pune,70000
1091,Employee_91,27,HR,Delhi,71000
1092,Employee_92,28,Finance,Mumbai,72000
1093,Employee_93,29,Sales,Bangalore,73000
1094,Employee_94,30,Marketing,Hyderabad,74000
1095,Employee_95,31,Support,Chennai,75000
1096,Employee_96,32,IT,Pune,76000
1097,Employee_97,33,HR,Delhi,77000
1098,Employee_98,34,Finance,Mumbai,78000
1099,Employee_99,35,Sales,Bangalore,79000
1100,Employee_100,36,Marketing,Hyderabad,30000
1101,Employee_101,37,Support,Chennai,31000
1102,Employee_102,38,IT,Pune,32000
1103,Employee_103,39,HR,Delhi,33000
1104,Employee_104,40,Finance,Mumbai,34000
1105,Employee_105,20,Sales,Bangalore,35000
1106,Employee_106,21,Marketing,Hyderabad,36000
1107,Employee_107,22,Support,Chennai,37000
1108,Employee_108,23,IT,Pune,38000
1109,Employee_109,24,HR,Delhi,39000
1110,Employee_110,25,Finance,Mumbai,40000
1111,Employee_111,26,Sales,Bangalore,41000
1112,Employee_112,27,Marketing,Hyderabad,42000
1113,Employee_113,28,Support,Chennai,43000
1114,Employee_114,29,IT,Pune,44000
1115,Employee_115,30,HR,Delhi,45000
1116,Employee_116,31,Finance,Mumbai,46000
1117,Employee_117,32,Sales,Bangalore,47000
1118,Employee_118,33,Marketing,Hyderabad,48000
1119,Employee_119,34,Support,Chennai,49000
1120,Employee_120,35,IT,Pune,50000
1121,Employee_121,36,HR,Delhi,51000
1122,Employee_122,37,Finance,Mumbai,52000
1123,Employee_123,38,Sales,Bangalore,53000
1124,Employee_124,39,Marketing,Hyderabad,54000
1125,Employee_125,40,Support,Chennai,55000
1126,Employee_126,20,IT,Pune,56000
1127,Employee_127,21,HR,Delhi,57000
1128,Employee_128,22,Finance,Mumbai,58000
1129,Employee_129,23,Sales,Bangalore,59000
1130,Employee_130,24,Marketing,Hyderabad,60000
1131,Employee_131,25,Support,Chennai,61000
1132,Employee_132,26,IT,Pune,62000
1133,Employee_133,27,HR,Delhi,63000
1134,Employee_134,28,Finance,Mumbai,64000
1135,Employee_135,29,Sales,Bangalore,65000
1136,Employee_136,30,Marketing,Hyderabad,66000
1137,Employee_137,31,Support,Chennai,67000
1138,Employee_138,32,IT,Pune,68000
1139,Employee_139,33,HR,Delhi,69000
1140,Employee_140,34,Finance,Mumbai,70000
1141,Employee_141,35,Sales,Bangalore,71000
1142,Employee_142,36,Marketing,Hyderabad,72000
1143,Employee_143,37,Support,Chennai,73000
1144,Employee_144,38,IT,Pune,74000
1145,Employee_145,39,HR,Delhi,75000
1146,Employee_146,40,Finance,Mumbai,76000
1147,Employee_147,20,Sales,Bangalore,77000
1148,Employee_148,21,Marketing,Hyderabad,78000
1149,Employee_149,22,Support,Chennai,79000
1150,Employee_150,23,IT,Pune,30000
1151,Employee_151,24,HR,Delhi,31000
1152,Employee_152,25,Finance,Mumbai,32000
1153,Employee_153,26,Sales,Bangalore,33000
1154,Employee_154,27,Marketing,Hyderabad,34000
1155,Employee_155,28,Support,Chennai,35000
1156,Employee_156,29,IT,Pune,36000
1157,Employee_157,30,HR,Delhi,37000
1158,Employee_158,31,Finance,Mumbai,38000
1159,Employee_159,32,Sales,Bangalore,39000
1160,Employee_160,33,Marketing,Hyderabad,40000
1161,Employee_161,34,Support,Chennai,41000
1162,Employee_162,35,IT,Pune,42000
1163,Employee_163,36,HR,Delhi,43000
1164,Employee_164,37,Finance,Mumbai,44000
1165,Employee_165,38,Sales,Bangalore,45000
1166,Employee_166,39,Marketing,Hyderabad,46000
1167,Employee_167,40,Support,Chennai,47000
1168,Employee_168,20,IT,Pune,48000
1169,Employee_169,21,HR,Delhi,49000
1170,Employee_170,22,Finance,Mumbai,50000
1171,Employee_171,23,Sales,Bangalore,51000
1172,Employee_172,24,Marketing,Hyderabad,52000
1173,Employee_173,25,Support,Chennai,53000
1174,Employee_174,26,IT,Pune,54000
1175,Employee_175,27,HR,Delhi,55000
1176,Employee_176,28,Finance,Mumbai,56000
1177,Employee_177,29,Sales,Bangalore,57000
1178,Employee_178,30,Marketing,Hyderabad,58000
1179,Employee_179,31,Support,Chennai,59000
1180,Employee_180,32,IT,Pune,60000
1181,Employee_181,33,HR,Delhi,61000
1182,Employee_182,34,Finance,Mumbai,62000
1183,Employee_183,35,Sales,Bangalore,63000
1184,Employee_184,36,Marketing,Hyderabad,64000
1185,Employee_185,37,Support,Chennai,65000
1186,Employee_186,38,IT,Pune,66000
1187,Employee_187,39,HR,Delhi,67000
1188,Employee_188,40,Finance,Mumbai,68000
1189,Employee_189,20,Sales,Bangalore,69000
1190,Employee_190,21,Marketing,Hyderabad,70000
1191,Employee_191,22,Support,Chennai,71000
1192,Employee_192,23,IT,Pune,72000
1193,Employee_193,24,HR,Delhi,73000
1194,Employee_194,25,Finance,Mumbai,74000
1195,Employee_195,26,Sales,Bangalore,75000
1196,Employee_196,27,Marketing,Hyderabad,76000
1197,Employee_197,28,Support,Chennai,77000
1198,Employee_198,29,IT,Pune,78000
1199,Employee_199,30,HR,Delhi,79000
1200,Employee_200,31,Finance,Mumbai,30000
1201,Employee_201,32,Sales,Bangalore,31000
1202,Employee_202,33,Marketing,Hyderabad,32000
1203,Employee_203,34,Support,Chennai,33000
1204,Employee_204,35,IT,Pune,34000
1205,Employee_205,36,HR,Delhi,35000
1206,Employee_206,37,Finance,Mumbai,36000
1207,Employee_207,38,Sales,Bangalore,37000
1208,Employee_208,39,Marketing,Hyderabad,38000
1209,Employee_209,40,Support,Chennai,39000
1210,Employee_210,20,IT,Pune,40000
1211,Employee_211,21,HR,Delhi,41000
1212,Employee_212,22,Finance,Mumbai,42000
1213,Employee_213,23,Sales,Bangalore,43000
1214,Employee_214,24,Marketing,Hyderabad,44000
1215,Employee_215,25,Support,Chennai,45000
1216,Employee_216,26,IT,Pune,46000
1217,Employee_217,27,HR,Delhi,47000
1218,Employee_218,28,Finance,Mumbai,48000
1219,Employee_219,29,Sales,Bangalore,49000
1220,Employee_220,30,Marketing,Hyderabad,50000
1221,Employee_221,31,Support,Chennai,51000
1222,Employee_222,32,IT,Pune,52000
1223,Employee_223,33,HR,Delhi,53000
1224,Employee_224,34,Finance,Mumbai,54000
1225,Employee_225,35,Sales,Bangalore,55000
1226,Employee_226,36,Marketing,Hyderabad,56000
1227,Employee_227,37,Support,Chennai,57000
1228,Employee_228,38,IT,Pune,58000
1229,Employee_229,39,HR,Delhi,59000
1230,Employee_230,40,Finance,Mumbai,60000
1231,Employee_231,20,Sales,Bangalore,61000
1232,Employee_232,21,Marketing,Hyderabad,62000
1233,Employee_233,22,Support,Chennai,63000
